"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15148","Edit Losses data and verify new data is visible on the page","Desktop Edge (uk)","Fri Dec 20 14:23:50 UTC 2024","passed","Fri Dec 20 14:24:05 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","17370","Edit Innovative Project and verify new data is visible on the page","Desktop Edge (en)","Fri Dec 20 14:24:40 UTC 2024","passed","Fri Dec 20 14:24:57 UTC 2024","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","16107","Verify Losses data has 5 points and More details button clickable","Mobile Safari - iPhone 12 (uk)","Fri Dec 20 14:27:54 UTC 2024","passed","Fri Dec 20 14:28:10 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","24609","Edit Employee and verify new data is visible on the page","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:28:25 UTC 2024","passed","Fri Dec 20 14:28:49 UTC 2024","Employee tests","Parametrized/CreateAndEditEmployeeTest.spec.js","",""
"","12176","Verify Quick Links are visible on the page","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:29:27 UTC 2024","passed","Fri Dec 20 14:29:40 UTC 2024","QuickLinks tests","Parametrized/VerifyAndEditQuickLinksTest.spec.js","",""
"","0","Verify tags are created and assigned to news","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:28:50 UTC 2024","skipped","Fri Dec 20 14:28:50 UTC 2024","","Parametrized/CreateTagTest.spec.js","",""
"","14575","Verify Media Links are present and reflect updates after changes","Desktop Edge (uk)","Fri Dec 20 14:22:38 UTC 2024","passed","Fri Dec 20 14:22:53 UTC 2024","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","12991","Verify Media Links are present and reflect updates after changes","Desktop Edge (en)","Fri Dec 20 14:24:32 UTC 2024","passed","Fri Dec 20 14:24:45 UTC 2024","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","15073","Verify Losses More details button redirects to the News page with appropriate tag","Mobile Safari - iPhone 12 (uk)","Fri Dec 20 14:28:10 UTC 2024","passed","Fri Dec 20 14:28:25 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","12220","Verify Losses data is visible on the page","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:29:55 UTC 2024","passed","Fri Dec 20 14:30:07 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","15586","Add new Media Links and verify they are visible on the page","Desktop Edge (en)","Fri Dec 20 14:24:45 UTC 2024","passed","Fri Dec 20 14:25:00 UTC 2024","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","8766","Verify Losses data has 5 points and More details button clickable","Desktop Edge (en)","Fri Dec 20 14:25:32 UTC 2024","passed","Fri Dec 20 14:25:40 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","14164","Add new Media Links and verify they are visible on the page","Desktop Edge (uk)","Fri Dec 20 14:22:53 UTC 2024","passed","Fri Dec 20 14:23:07 UTC 2024","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","14824","Edit Losses data and verify new data is visible on the page","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:30:34 UTC 2024","passed","Fri Dec 20 14:30:49 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","20486","Edit Innovative Project and verify new data is visible on the page","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:29:17 UTC 2024","passed","Fri Dec 20 14:29:38 UTC 2024","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","27260","Edit Employee and verify new data is visible on the page","Mobile Safari - iPhone 12 (uk)","Fri Dec 20 14:26:09 UTC 2024","passed","Fri Dec 20 14:26:37 UTC 2024","Employee tests","Parametrized/CreateAndEditEmployeeTest.spec.js","",""
"","16769","Edit Losses data and verify new data is visible on the page","Desktop Edge (en)","Fri Dec 20 14:25:52 UTC 2024","passed","Fri Dec 20 14:26:08 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","12269","Verify Losses data has 5 points and More details button clickable","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:30:08 UTC 2024","passed","Fri Dec 20 14:30:20 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","17314","Edit Innovative Project and verify new data is visible on the page","Mobile Safari - iPhone 12 (uk)","Fri Dec 20 14:26:53 UTC 2024","passed","Fri Dec 20 14:27:11 UTC 2024","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","30865","Verify Employees are created and present on appropriate page","Desktop Edge (uk)","Fri Dec 20 14:21:21 UTC 2024","broken","Fri Dec 20 14:21:52 UTC 2024","Employee tests","Parametrized/CreateAndEditEmployeeTest.spec.js","",""
"","18297","Verify Innovative Project is created and visible on the page","Desktop Edge (en)","Fri Dec 20 14:24:06 UTC 2024","failed","Fri Dec 20 14:24:24 UTC 2024","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","19162","Edit Employee and verify new data is visible on the page","Desktop Edge (uk)","Fri Dec 20 14:22:25 UTC 2024","passed","Fri Dec 20 14:22:44 UTC 2024","Employee tests","Parametrized/CreateAndEditEmployeeTest.spec.js","",""
"","9508","Verify Losses data has 5 points and More details button clickable","Desktop Edge (uk)","Fri Dec 20 14:23:30 UTC 2024","passed","Fri Dec 20 14:23:39 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","0","Verify Leadership is present and reflects updates after changes","Desktop Edge (uk)","Fri Dec 20 14:22:38 UTC 2024","skipped","Fri Dec 20 14:22:38 UTC 2024","Leadership tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","8889","Verify Quick Links are visible on the page","Desktop Edge (en)","Fri Dec 20 14:25:00 UTC 2024","passed","Fri Dec 20 14:25:09 UTC 2024","QuickLinks tests","Parametrized/VerifyAndEditQuickLinksTest.spec.js","",""
