"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9614","Verify if Button widget is displayed correctly","Desktop (uk)","2026-02-02","failed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","491","Verify file can be uploaded","NonParametrized","2026-02-02","failed","2026-02-02","","NonParametrized/UploadFileTest.spec.js","",""
"","8807","Verify Footer items work on the page","Mobile (uk)","2026-02-02","failed","2026-02-02","Footer tests","Parametrized/VerifyFooterTest.spec.js","",""
"","9332","Edit Innovative Project and verify new data is visible on the page","Desktop (uk)","2026-02-02","passed","2026-02-02","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","16821","Verify Employees are created and present on appropriate page","Desktop (en)","2026-02-02","passed","2026-02-02","Employee tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","12191","Verify titles correctness based on tags selected","Desktop (en)","2026-02-02","passed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","0","Verify Recent news are visible on the Main page","Mobile (en)","2026-02-02","skipped","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","14361","Verify user is able to switch between Highlighted news","Desktop (en)","2026-02-02","passed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","30354","Verify if documents are sorted by acceptance date","Mobile (uk)","2026-02-02","broken","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","0","Verify tags are created and assigned to News","Mobile (uk)","2026-02-02","skipped","2026-02-02","","Parametrized/CreateAndEditTagTest.spec.js","",""
"","1","Verify Losses data is visible on the page","Mobile (en)","2026-02-02","failed","2026-02-02","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","24730","Verify search by Title and Description","Desktop (uk)","2026-02-02","failed","2026-02-02","Search tests","Parametrized/VerifySearchTest.spec.js","",""
"","0","Verify if search results sorted by DESC","Mobile (en)","2026-02-02","skipped","2026-02-02","Search tests","Parametrized/VerifySearchTest.spec.js","",""
"","9109","Verify if only 3 Explain Articles displayed on Main Page","Desktop (en)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","13854","Verify Losses data is visible on the page","Mobile (uk)","2026-02-02","failed","2026-02-02","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","14137","Verify if Explain Articles with highlight true displays on Main Page","Mobile (uk)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","1","Verify tags are created and assigned to News","Mobile (en)","2026-02-02","skipped","2026-02-02","","Parametrized/CreateAndEditTagTest.spec.js","",""
"","405","Verify if documents are sorted by acceptance date","Desktop (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","12126","Verify if Button widget is displayed correctly","Desktop (en)","2026-02-02","failed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","13039","Edit Employee and verify new data is visible on the page","Desktop (uk)","2026-02-02","passed","2026-02-02","Employee tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","25830","Verify if Button widget is displayed correctly","Mobile (uk)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","1","Verify all existing and newly created Service`s categories and items are visible on Main page","Desktop (uk)","2026-02-02","failed","2026-02-02","Services tests","Parametrized/CreateAndEditServicesTests.spec.js","",""
"","9059","Verify Footer items work on the page","Desktop (uk)","2026-02-02","failed","2026-02-02","Footer tests","Parametrized/VerifyFooterTest.spec.js","",""
"","8675","Verify social media links in Footer and Header","Mobile (uk)","2026-02-02","failed","2026-02-02","Social media tests","Parametrized/VerifySocialMediaTest.spec.js","",""
"","0","Verify titles correctness based on tags selected","Mobile (en)","2026-02-02","skipped","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","0","Add new Media Links and verify they are working on the page","Mobile (uk)","2026-02-02","skipped","2026-02-02","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","7744","Verify if Email widget is displayed correctly on Explain Articles Page","Desktop (en)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","30969","Verify social media links in Footer and Header","Desktop (en)","2026-02-02","broken","2026-02-02","Social media tests","Parametrized/VerifySocialMediaTest.spec.js","",""
"","14296","Verify Innovative Project is created and visible on the page","Mobile (uk)","2026-02-02","passed","2026-02-02","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","396","Verify document search work correctness","Desktop (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","1","Add new Media Links and verify they are working on the page","Mobile (en)","2026-02-02","skipped","2026-02-02","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","1","Verify tags are created and assigned to explain article","Mobile (en)","2026-02-02","failed","2026-02-02","","Parametrized/CreateAndEditTagTest.spec.js","",""
"","10815","Verify Email widget is displayed correctly on Document page","Desktop (uk)","2026-02-02","failed","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","848","Edit Losses data and verify new data is visible on the page","Desktop (en)","2026-02-02","failed","2026-02-02","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","1","Verify Media Links are present and reflect updates after changes","Desktop (en)","2026-02-02","failed","2026-02-02","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","8086","Verify if Explain Articles Detail page correctly opened after clicking on Tile","Desktop (en)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","11918","Verify document page is displayed correctly","Desktop (uk)","2026-02-02","passed","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","0","Verify filtering works based on tags selected","Mobile (en)","2026-02-02","skipped","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","9232","Verify document search work correctness","Desktop (uk)","2026-02-02","failed","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
